"starttime","TOD","Queens College","Midtown-DOT"
"2022-06-20 19:00:00.000","20:00 PM",9.09,NA
"2022-06-20 20:00:00.000","21:00 PM",24.31,NA
"2022-06-20 21:00:00.000","22:00 PM",24.62,NA
"2022-06-20 22:00:00.000","23:00 PM",19.56,NA
"2022-06-20 23:00:00.000","00:00 AM",18.95,NA
"2022-06-21 00:00:00.000","01:00 AM",17.39,NA
"2022-06-21 01:00:00.000","02:00 AM",15.71,NA
"2022-06-21 02:00:00.000","03:00 AM",13.96,NA
"2022-06-21 03:00:00.000","04:00 AM",13.05,NA
"2022-06-21 04:00:00.000","05:00 AM",16.95,NA
"2022-06-21 05:00:00.000","06:00 AM",14.75,NA
"2022-06-21 06:00:00.000","07:00 AM",10.74,NA
"2022-06-21 07:00:00.000","08:00 AM",11.3,NA
"2022-06-21 08:00:00.000","09:00 AM",11.72,NA
"2022-06-21 09:00:00.000","10:00 AM",12.38,NA
"2022-06-21 10:00:00.000","11:00 AM",11.75,NA
"2022-06-21 11:00:00.000","12:00 PM",12.57,NA
"2022-06-21 12:00:00.000","13:00 PM",12.4,NA
"2022-06-21 13:00:00.000","14:00 PM",13.27,NA
"2022-06-21 14:00:00.000","15:00 PM",11.73,NA
"2022-06-21 15:00:00.000","16:00 PM",10.87,NA
"2022-06-21 16:00:00.000","17:00 PM",12.44,NA
"2022-06-21 17:00:00.000","18:00 PM",15.19,NA
"2022-06-21 18:00:00.000","19:00 PM",17.87,NA
"2022-06-21 19:00:00.000","20:00 PM",18.11,NA
"2022-06-21 20:00:00.000","21:00 PM",16.22,NA
"2022-06-21 21:00:00.000","22:00 PM",13.2,NA
"2022-06-21 22:00:00.000","23:00 PM",12.49,NA
"2022-06-21 23:00:00.000","00:00 AM",14.09,NA
"2022-06-22 00:00:00.000","01:00 AM",11.02,NA
"2022-06-22 01:00:00.000","02:00 AM",9.43,NA
"2022-06-22 02:00:00.000","03:00 AM",9.42,NA
"2022-06-22 03:00:00.000","04:00 AM",8.86,NA
"2022-06-22 04:00:00.000","05:00 AM",7.89,NA
"2022-06-22 05:00:00.000","06:00 AM",7.21,NA
"2022-06-22 06:00:00.000","07:00 AM",7.2,NA
"2022-06-22 07:00:00.000","08:00 AM",7,NA
"2022-06-22 08:00:00.000","09:00 AM",6.48,NA
"2022-06-22 09:00:00.000","10:00 AM",6.34,NA
"2022-06-22 10:00:00.000","11:00 AM",6.22,NA
"2022-06-22 11:00:00.000","12:00 PM",5.97,NA
"2022-06-22 12:00:00.000","13:00 PM",5.97,NA
"2022-06-22 13:00:00.000","14:00 PM",5.8,NA
"2022-06-22 14:00:00.000","15:00 PM",6.09,NA
"2022-06-22 15:00:00.000","16:00 PM",5.31,NA
"2022-06-22 16:00:00.000","17:00 PM",3.49,NA
"2022-06-22 17:00:00.000","18:00 PM",3.09,NA
"2022-06-22 18:00:00.000","19:00 PM",2.92,NA
"2022-06-22 19:00:00.000","20:00 PM",5.34,NA
"2022-06-22 20:00:00.000","21:00 PM",7.86,NA
"2022-06-22 21:00:00.000","22:00 PM",7.12,NA
"2022-06-22 22:00:00.000","23:00 PM",6.44,NA
"2022-06-22 23:00:00.000","00:00 AM",6.28,NA
"2022-06-23 00:00:00.000","01:00 AM",6.71,NA
"2022-06-23 01:00:00.000","02:00 AM",8.89,NA
"2022-06-23 02:00:00.000","03:00 AM",8.75,NA
"2022-06-23 03:00:00.000","04:00 AM",7.57,NA
"2022-06-23 04:00:00.000","05:00 AM",5.72,NA
"2022-06-23 05:00:00.000","06:00 AM",5.13,NA
"2022-06-23 06:00:00.000","07:00 AM",4.25,NA
"2022-06-23 07:00:00.000","08:00 AM",3.93,NA
"2022-06-23 08:00:00.000","09:00 AM",4.09,NA
"2022-06-23 09:00:00.000","10:00 AM",4.22,NA
"2022-06-23 10:00:00.000","11:00 AM",3.95,NA
"2022-06-23 11:00:00.000","12:00 PM",3.72,NA
"2022-06-23 12:00:00.000","13:00 PM",5.15,NA
"2022-06-23 13:00:00.000","14:00 PM",4.79,NA
"2022-06-23 14:00:00.000","15:00 PM",4.13,NA
"2022-06-23 15:00:00.000","16:00 PM",4,NA
"2022-06-23 16:00:00.000","17:00 PM",3.99,NA
"2022-06-23 17:00:00.000","18:00 PM",4.23,NA
"2022-06-23 18:00:00.000","19:00 PM",4.45,NA
"2022-06-23 19:00:00.000","20:00 PM",4.37,NA
"2022-06-23 20:00:00.000","21:00 PM",4.51,NA
"2022-06-23 21:00:00.000","22:00 PM",4.43,6.29
"2022-06-23 22:00:00.000","23:00 PM",4.54,5.95
"2022-06-23 23:00:00.000","00:00 AM",4.5,6.37
"2022-06-24 00:00:00.000","01:00 AM",4.57,5.81
"2022-06-24 01:00:00.000","02:00 AM",4.74,7.37
"2022-06-24 02:00:00.000","03:00 AM",5.18,6.55
"2022-06-24 03:00:00.000","04:00 AM",5.14,8.1
"2022-06-24 04:00:00.000","05:00 AM",5.13,8.98
"2022-06-24 05:00:00.000","06:00 AM",6.47,9.78
"2022-06-24 06:00:00.000","07:00 AM",9.13,9.08
"2022-06-24 07:00:00.000","08:00 AM",9.17,10.45
"2022-06-24 08:00:00.000","09:00 AM",10.08,11.07
"2022-06-24 09:00:00.000","10:00 AM",8.23,15.84
"2022-06-24 10:00:00.000","11:00 AM",8.1,7.57
"2022-06-24 11:00:00.000","12:00 PM",7.94,7.19
"2022-06-24 12:00:00.000","13:00 PM",6.75,7.22
"2022-06-24 13:00:00.000","14:00 PM",6.24,7.29
"2022-06-24 14:00:00.000","15:00 PM",5.54,8.09
"2022-06-24 15:00:00.000","16:00 PM",5.23,6.93
"2022-06-24 16:00:00.000","17:00 PM",4.78,7.16
"2022-06-24 17:00:00.000","18:00 PM",4.65,7.46
"2022-06-24 18:00:00.000","19:00 PM",4.61,8.04
"2022-06-24 19:00:00.000","20:00 PM",4.76,9.77
"2022-06-24 20:00:00.000","21:00 PM",5.17,8.59
"2022-06-24 21:00:00.000","22:00 PM",6.04,8.07
"2022-06-24 22:00:00.000","23:00 PM",7.88,7.28
"2022-06-24 23:00:00.000","00:00 AM",7.63,7.22
"2022-06-25 00:00:00.000","01:00 AM",7.27,7.22
"2022-06-25 01:00:00.000","02:00 AM",8,8.13
"2022-06-25 02:00:00.000","03:00 AM",8.66,8.96
"2022-06-25 03:00:00.000","04:00 AM",9.17,7.76
"2022-06-25 04:00:00.000","05:00 AM",9.9,7.2
"2022-06-25 05:00:00.000","06:00 AM",9.64,6.67
"2022-06-25 06:00:00.000","07:00 AM",9.12,7.18
"2022-06-25 07:00:00.000","08:00 AM",8.98,7.41
"2022-06-25 08:00:00.000","09:00 AM",9.28,7.22
"2022-06-25 09:00:00.000","10:00 AM",8.28,11.24
"2022-06-25 10:00:00.000","11:00 AM",6.91,6.06
"2022-06-25 11:00:00.000","12:00 PM",6.2,13.11
"2022-06-25 12:00:00.000","13:00 PM",6.25,6.35
"2022-06-25 13:00:00.000","14:00 PM",5.86,5.75
"2022-06-25 14:00:00.000","15:00 PM",6.16,5.68
"2022-06-25 15:00:00.000","16:00 PM",8.12,5.89
"2022-06-25 16:00:00.000","17:00 PM",7.11,6.99
"2022-06-25 17:00:00.000","18:00 PM",7.58,8.21
"2022-06-25 18:00:00.000","19:00 PM",7.23,8.2
"2022-06-25 19:00:00.000","20:00 PM",6.89,10.32
"2022-06-25 20:00:00.000","21:00 PM",7.12,9.25
"2022-06-25 21:00:00.000","22:00 PM",7.33,9.34
"2022-06-25 22:00:00.000","23:00 PM",7.15,8.31
"2022-06-25 23:00:00.000","00:00 AM",7.65,8.13
"2022-06-26 00:00:00.000","01:00 AM",7.76,7.79
"2022-06-26 01:00:00.000","02:00 AM",8.5,7.5
"2022-06-26 02:00:00.000","03:00 AM",9.78,7.47
"2022-06-26 03:00:00.000","04:00 AM",10.3,7.57
"2022-06-26 04:00:00.000","05:00 AM",10.52,7.2
"2022-06-26 05:00:00.000","06:00 AM",10.28,7.07
"2022-06-26 06:00:00.000","07:00 AM",10.02,7.18
"2022-06-26 07:00:00.000","08:00 AM",8.7,7.47
"2022-06-26 08:00:00.000","09:00 AM",8.6,7.96
"2022-06-26 09:00:00.000","10:00 AM",8.14,6.72
"2022-06-26 10:00:00.000","11:00 AM",7.84,7.09
"2022-06-26 11:00:00.000","12:00 PM",8,6.91
"2022-06-26 12:00:00.000","13:00 PM",7.48,6.2
"2022-06-26 13:00:00.000","14:00 PM",7,5.93
"2022-06-26 14:00:00.000","15:00 PM",5.92,6.17
"2022-06-26 15:00:00.000","16:00 PM",4.47,6.08
"2022-06-26 16:00:00.000","17:00 PM",4.52,5.72
"2022-06-26 17:00:00.000","18:00 PM",4.3,5.94
"2022-06-26 18:00:00.000","19:00 PM",4.09,6.09
"2022-06-26 19:00:00.000","20:00 PM",4.23,5.61
"2022-06-26 20:00:00.000","21:00 PM",3.94,5.72
"2022-06-26 21:00:00.000","22:00 PM",3.65,5.52
"2022-06-26 22:00:00.000","23:00 PM",3.5,9.97
"2022-06-26 23:00:00.000","00:00 AM",3.51,4.87
"2022-06-27 00:00:00.000","01:00 AM",3.38,2.69
"2022-06-27 02:00:00.000","03:00 AM",3.23,1.5
"2022-06-27 03:00:00.000","04:00 AM",3.29,0.81
"2022-06-27 04:00:00.000","05:00 AM",3.45,1.01
"2022-06-27 05:00:00.000","06:00 AM",3.92,1.85
"2022-06-27 06:00:00.000","07:00 AM",4.51,1.69
"2022-06-27 07:00:00.000","08:00 AM",4.73,2.39
"2022-06-27 08:00:00.000","09:00 AM",4.96,3.59
"2022-06-27 09:00:00.000","10:00 AM",5.4,5.69
"2022-06-27 10:00:00.000","11:00 AM",6.5,6.36
"2022-06-27 11:00:00.000","12:00 PM",7.57,8.42
"2022-06-27 12:00:00.000","13:00 PM",10.24,12.85
"2022-06-27 13:00:00.000","14:00 PM",11.55,8.59
"2022-06-27 14:00:00.000","15:00 PM",7.55,4.56
"2022-06-27 15:00:00.000","16:00 PM",7,6.05
"2022-06-27 16:00:00.000","17:00 PM",7.64,7.17
"2022-06-27 17:00:00.000","18:00 PM",8.8,4.88
"2022-06-27 18:00:00.000","19:00 PM",8.07,7.22
"2022-06-27 19:00:00.000","20:00 PM",6.56,4.49
"2022-06-27 20:00:00.000","21:00 PM",7.25,7.77
"2022-06-27 21:00:00.000","22:00 PM",6.77,7.83
"2022-06-27 22:00:00.000","23:00 PM",7.71,4.38
"2022-06-27 23:00:00.000","00:00 AM",8.54,2.18
"2022-06-28 00:00:00.000","01:00 AM",6.14,1.17
"2022-06-28 01:00:00.000","02:00 AM",4.35,0.7
"2022-06-28 02:00:00.000","03:00 AM",3.94,0.01
"2022-06-28 03:00:00.000","04:00 AM",4.08,-0.18
"2022-06-28 04:00:00.000","05:00 AM",3.66,-0.24
"2022-06-28 05:00:00.000","06:00 AM",3.59,0.38
"2022-06-28 06:00:00.000","07:00 AM",3.48,0.22
"2022-06-28 07:00:00.000","08:00 AM",3.45,0.01
"2022-06-28 08:00:00.000","09:00 AM",3.24,0.42
"2022-06-28 09:00:00.000","10:00 AM",3.22,7.19
"2022-06-28 10:00:00.000","11:00 AM",3.27,2.64
"2022-06-28 11:00:00.000","12:00 PM",3.41,2.81
"2022-06-28 12:00:00.000","13:00 PM",3.52,1.31
